,name,formatted_name,url,url2
131,Larry Nance,Larry-Nance,https://www.2kratings.com/wp-content/uploads/Larry-Nance-2K-Rating.png,https://www.2kratings.com/wp-content/uploads/Larry-Nance-2K.png
132,Brad Daugherty,Brad-Daugherty,https://www.2kratings.com/wp-content/uploads/Brad-Daugherty-2K-Rating.png,https://www.2kratings.com/wp-content/uploads/Brad-Daugherty-2K.png
133,K.C. Jones,K.C.-Jones,https://www.2kratings.com/wp-content/uploads/K.C.-Jones-2K-Rating.png,https://www.2kratings.com/wp-content/uploads/K.C.-Jones-2K.png
134,Tom Sanders,Tom-Sanders,https://www.2kratings.com/wp-content/uploads/Tom-Sanders-2K-Rating.png,https://www.2kratings.com/wp-content/uploads/Tom-Sanders-2K.png
135,Rajon Rondo,Rajon-Rondo,https://www.2kratings.com/wp-content/uploads/Rajon-Rondo-2K-Rating.png,https://www.2kratings.com/wp-content/uploads/Rajon-Rondo-2K.png
136,Michael Cooper,Michael-Cooper,https://www.2kratings.com/wp-content/uploads/Michael-Cooper-2K-Rating.png,https://www.2kratings.com/wp-content/uploads/Michael-Cooper-2K.png
137,Penny Hardaway,Penny-Hardaway,https://www.2kratings.com/wp-content/uploads/Penny-Hardaway-2K-Rating.png,https://www.2kratings.com/wp-content/uploads/Penny-Hardaway-2K.png
138,Jason Terry,Jason-Terry,https://www.2kratings.com/wp-content/uploads/Jason-Terry-2K-Rating.png,https://www.2kratings.com/wp-content/uploads/Jason-Terry-2K.png
139,Kyle Lowry,Kyle-Lowry,https://www.2kratings.com/wp-content/uploads/Kyle-Lowry-2K-Rating.png,https://www.2kratings.com/wp-content/uploads/Kyle-Lowry-2K.png
140,Terry Porter,Terry-Porter,https://www.2kratings.com/wp-content/uploads/Terry-Porter-2K-Rating.png,https://www.2kratings.com/wp-content/uploads/Terry-Porter-2K.png
141,Stephon Marbury,Stephon-Marbury,https://www.2kratings.com/wp-content/uploads/Stephon-Marbury-2K-Rating.png,https://www.2kratings.com/wp-content/uploads/Stephon-Marbury-2K.png
142,Mitch Richmond,Mitch-Richmond,https://www.2kratings.com/wp-content/uploads/Mitch-Richmond-2K-Rating.png,https://www.2kratings.com/wp-content/uploads/Mitch-Richmond-2K.png
143,Ben Simmons,Ben-Simmons,https://www.2kratings.com/wp-content/uploads/Ben-Simmons-2K-Rating.png,https://www.2kratings.com/wp-content/uploads/Ben-Simmons-2K.png
144,Miles Bridges,Miles-Bridges,https://www.2kratings.com/wp-content/uploads/Miles-Bridges-2K-Rating.png,https://www.2kratings.com/wp-content/uploads/Miles-Bridges-2K.png
145,Christian Wood,Christian-Wood,https://www.2kratings.com/wp-content/uploads/Christian-Wood-2K-Rating.png,https://www.2kratings.com/wp-content/uploads/Christian-Wood-2K.png
146,Jaren Jackson Jr.,Jaren-Jackson-Jr.,https://www.2kratings.com/wp-content/uploads/Jaren-Jackson-Jr.-2K-Rating.png,https://www.2kratings.com/wp-content/uploads/Jaren-Jackson-Jr.-2K.png
147,Desmond Bane,Desmond-Bane,https://www.2kratings.com/wp-content/uploads/Desmond-Bane-2K-Rating.png,https://www.2kratings.com/wp-content/uploads/Desmond-Bane-2K.png
148,Tyrese Maxey,Tyrese-Maxey,https://www.2kratings.com/wp-content/uploads/Tyrese-Maxey-2K-Rating.png,https://www.2kratings.com/wp-content/uploads/Tyrese-Maxey-2K.png
149,De’Aaron Fox,DeAaron-Fox,https://www.2kratings.com/wp-content/uploads/DeAaron-Fox-2K-Rating.png,https://www.2kratings.com/wp-content/uploads/DeAaron-Fox-2K.png
